datetime,equity,cash,positions_value,positions,return,return_cum
2021-11-09,19631.776,19631.776,0.0,{'SPY': 0},0.0,96.318
2021-11-10,19631.776,19631.776,0.0,{'SPY': 0},0.0,96.318
2021-11-11,19631.776,19631.776,0.0,{'SPY': 0},0.0,96.318
2021-11-12,19774.257,219.758,19554.499,{'SPY': 43},0.726,97.743
2021-11-15,19772.347,19772.347,0.0,{'SPY': 0},-0.01,97.723
2021-11-16,19772.347,19772.347,0.0,{'SPY': 0},0.0,97.723
2021-11-17,19772.347,19772.347,0.0,{'SPY': 0},0.0,97.723
2021-11-18,19772.347,19772.347,0.0,{'SPY': 0},0.0,97.723
2021-11-19,19772.347,19772.347,0.0,{'SPY': 0},0.0,97.723
2021-11-22,19711.85,146.471,19565.378,{'SPY': 43},-0.306,97.118
2021-11-23,19741.98,146.471,19595.508,{'SPY': 43},0.153,97.42
2021-11-24,19740.07,19740.07,0.0,{'SPY': 0},-0.01,97.401
2021-11-26,19740.07,19740.07,0.0,{'SPY': 0},0.0,97.401
2021-11-29,19740.07,19740.07,0.0,{'SPY': 0},0.0,97.401
2021-11-30,19740.07,19740.07,0.0,{'SPY': 0},0.0,97.401
2021-12-01,19509.934,217.958,19291.976,{'SPY': 44},-1.166,95.099
2021-12-02,19803.269,217.958,19585.311,{'SPY': 44},1.504,98.033
2021-12-03,19801.379,19801.379,0.0,{'SPY': 0},-0.01,98.014
2021-12-06,19801.379,19801.379,0.0,{'SPY': 0},0.0,98.014
2021-12-07,19801.379,19801.379,0.0,{'SPY': 0},0.0,98.014
2021-12-08,19801.379,19801.379,0.0,{'SPY': 0},0.0,98.014
2021-12-09,19801.379,19801.379,0.0,{'SPY': 0},0.0,98.014
2021-12-10,19982.765,283.889,19698.876,{'SPY': 43},0.916,99.828
2021-12-13,19980.845,19980.845,0.0,{'SPY': 0},-0.01,99.808
2021-12-14,19844.177,451.638,19392.54,{'SPY': 43},-0.684,98.442
2021-12-15,20145.074,451.638,19693.437,{'SPY': 43},1.516,101.451
2021-12-16,20143.154,20143.154,0.0,{'SPY': 0},-0.01,101.432
2021-12-17,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-20,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-21,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-22,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-23,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-27,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-28,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-29,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-30,20143.154,20143.154,0.0,{'SPY': 0},0.0,101.432
2021-12-31,20088.308,144.951,19943.357,{'SPY': 43},-0.272,100.883
2022-01-03,20209.259,144.951,20064.307,{'SPY': 43},0.602,102.093
2022-01-04,20207.329,20207.329,0.0,{'SPY': 0},-0.01,102.073
2022-01-05,20207.329,20207.329,0.0,{'SPY': 0},0.0,102.073
2022-01-06,20186.081,77.588,20108.493,{'SPY': 44},-0.105,101.861
2022-01-07,20108.302,77.588,20030.714,{'SPY': 44},-0.385,101.083
2022-01-10,20083.376,77.588,20005.788,{'SPY': 44},-0.124,100.834
2022-01-11,20081.466,20081.466,0.0,{'SPY': 0},-0.01,100.815
2022-01-12,20081.466,20081.466,0.0,{'SPY': 0},0.0,100.815
2022-01-13,20081.466,20081.466,0.0,{'SPY': 0},0.0,100.815
2022-01-14,20086.002,116.743,19969.259,{'SPY': 44},0.023,100.86
2022-01-18,20084.092,20084.092,0.0,{'SPY': 0},-0.01,100.841
2022-01-19,20084.092,20084.092,0.0,{'SPY': 0},0.0,100.841
2022-01-20,19862.464,226.061,19636.402,{'SPY': 45},-1.104,98.625
2022-01-21,19477.021,226.061,19250.96,{'SPY': 45},-1.941,94.77
2022-01-24,19559.209,226.061,19333.148,{'SPY': 45},0.422,95.592
2022-01-25,19557.349,19557.349,0.0,{'SPY': 0},-0.01,95.573
2022-01-26,19557.349,19557.349,0.0,{'SPY': 0},0.0,95.573
2022-01-27,19557.349,19557.349,0.0,{'SPY': 0},0.0,95.573
2022-01-28,20033.076,180.0,19853.076,{'SPY': 46},2.432,100.331
2022-01-31,20031.216,20031.216,0.0,{'SPY': 0},-0.009,100.312
2022-02-01,20031.216,20031.216,0.0,{'SPY': 0},0.0,100.312
2022-02-02,20031.216,20031.216,0.0,{'SPY': 0},0.0,100.312
2022-02-03,20031.216,20031.216,0.0,{'SPY': 0},0.0,100.312
2022-02-04,20120.759,399.095,19721.664,{'SPY': 45},0.447,101.208
2022-02-07,20054.834,399.095,19655.739,{'SPY': 45},-0.328,100.548
2022-02-08,20215.691,399.095,19816.596,{'SPY': 45},0.802,102.157
2022-02-09,20213.811,20213.811,0.0,{'SPY': 0},-0.009,102.138
2022-02-10,20213.811,20213.811,0.0,{'SPY': 0},0.0,102.138
2022-02-11,20213.811,20213.811,0.0,{'SPY': 0},0.0,102.138
2022-02-14,20146.81,421.325,19725.485,{'SPY': 46},-0.331,101.468
2022-02-15,20461.745,421.325,20040.42,{'SPY': 46},1.563,104.617
2022-02-16,20459.875,20459.875,0.0,{'SPY': 0},-0.009,104.599
2022-02-17,20459.875,20459.875,0.0,{'SPY': 0},0.0,104.599
2022-02-18,20327.661,393.236,19934.425,{'SPY': 47},-0.646,103.277
2022-02-22,20115.587,393.236,19722.352,{'SPY': 47},-1.043,101.156
2022-02-23,19763.05,393.236,19369.814,{'SPY': 47},-1.753,97.63
2022-02-24,20054.074,393.236,19660.838,{'SPY': 47},1.473,100.541
2022-02-25,20052.234,20052.234,0.0,{'SPY': 0},-0.009,100.522
2022-02-28,20052.234,20052.234,0.0,{'SPY': 0},0.0,100.522
2022-03-01,20052.234,20052.234,0.0,{'SPY': 0},0.0,100.522
2022-03-02,20052.234,20052.234,0.0,{'SPY': 0},0.0,100.522
2022-03-03,20052.234,20052.234,0.0,{'SPY': 0},0.0,100.522
2022-03-04,20052.234,20052.234,0.0,{'SPY': 0},0.0,100.522
2022-03-07,20052.234,20052.234,0.0,{'SPY': 0},0.0,100.522
2022-03-08,19902.276,386.148,19516.128,{'SPY': 48},-0.748,99.023
2022-03-09,20423.11,386.148,20036.962,{'SPY': 48},2.617,104.231
2022-03-10,20332.635,386.148,19946.486,{'SPY': 48},-0.443,103.326
2022-03-11,20330.805,20330.805,0.0,{'SPY': 0},-0.009,103.308
2022-03-14,20184.454,225.372,19959.082,{'SPY': 49},-0.72,101.845
2022-03-15,20618.996,225.372,20393.624,{'SPY': 49},2.153,106.19
2022-03-16,20617.166,20617.166,0.0,{'SPY': 0},-0.009,106.172
2022-03-17,20617.166,20617.166,0.0,{'SPY': 0},0.0,106.172
2022-03-18,20617.166,20617.166,0.0,{'SPY': 0},0.0,106.172
2022-03-21,20617.166,20617.166,0.0,{'SPY': 0},0.0,106.172
2022-03-22,20617.166,20617.166,0.0,{'SPY': 0},0.0,106.172
2022-03-23,20617.166,20617.166,0.0,{'SPY': 0},0.0,106.172
2022-03-24,20917.821,178.277,20739.544,{'SPY': 47},1.458,109.178
2022-03-25,20915.941,20915.941,0.0,{'SPY': 0},-0.009,109.159
2022-03-28,20915.941,20915.941,0.0,{'SPY': 0},0.0,109.159
2022-03-29,20915.941,20915.941,0.0,{'SPY': 0},0.0,109.159
2022-03-30,20915.941,20915.941,0.0,{'SPY': 0},0.0,109.159
2022-03-31,20915.941,20915.941,0.0,{'SPY': 0},0.0,109.159
2022-04-01,20970.696,117.421,20853.275,{'SPY': 47},0.262,109.707
2022-04-04,20968.806,20968.806,0.0,{'SPY': 0},-0.009,109.688
2022-04-05,20968.806,20968.806,0.0,{'SPY': 0},0.0,109.688
2022-04-06,20758.335,195.61,20562.726,{'SPY': 47},-1.004,107.583
2022-04-07,20858.257,195.61,20662.648,{'SPY': 47},0.481,108.583
2022-04-08,20806.684,195.61,20611.074,{'SPY': 47},-0.247,108.067
2022-04-11,20454.433,195.61,20258.824,{'SPY': 47},-1.693,104.544
2022-04-12,20374.773,195.61,20179.163,{'SPY': 47},-0.389,103.748
2022-04-13,20610.53,195.61,20414.92,{'SPY': 47},1.157,106.105
2022-04-14,20608.66,20608.66,0.0,{'SPY': 0},-0.009,106.087
2022-04-18,20612.444,15.692,20596.752,{'SPY': 48},0.018,106.124
2022-04-19,20942.564,15.692,20926.872,{'SPY': 48},1.602,109.426
2022-04-20,20940.694,20940.694,0.0,{'SPY': 0},-0.009,109.407
2022-04-21,20940.694,20940.694,0.0,{'SPY': 0},0.0,109.407
2022-04-22,20376.879,339.73,20037.149,{'SPY': 48},-2.692,103.769
2022-04-25,20489.737,339.73,20150.006,{'SPY': 48},0.554,104.897
2022-04-26,20487.897,20487.897,0.0,{'SPY': 0},-0.009,104.879
2022-04-27,20542.412,102.922,20439.49,{'SPY': 50},0.266,105.424
2022-04-28,21058.222,102.922,20955.3,{'SPY': 50},2.511,110.582
2022-04-29,21056.382,21056.382,0.0,{'SPY': 0},-0.009,110.564
2022-05-02,21179.382,62.921,21116.462,{'SPY': 52},0.584,111.794
2022-05-03,21177.572,21177.572,0.0,{'SPY': 0},-0.009,111.776
2022-05-04,21177.572,21177.572,0.0,{'SPY': 0},0.0,111.776
2022-05-05,21177.572,21177.572,0.0,{'SPY': 0},0.0,111.776
2022-05-06,21177.572,21177.572,0.0,{'SPY': 0},0.0,111.776
2022-05-09,21177.572,21177.572,0.0,{'SPY': 0},0.0,111.776
2022-05-10,21219.705,107.374,21112.331,{'SPY': 54},0.199,112.197
2022-05-11,20886.406,107.374,20779.033,{'SPY': 54},-1.571,108.864
2022-05-12,20867.36,107.374,20759.987,{'SPY': 54},-0.091,108.674
